CEP,NUM,LATITUDE,LONGITUDE
65057699,139,-2.5681215,-44.2626532
65076370,139,-2.5157646,-44.3048349
65090850,138,-2.5378078,-44.2034146
65080030,138,-2.5603288,-44.3053642
65076520,138,-2.5083273,-44.3067564
65067510,138,-2.5085207,-44.2296420
65055845,138,-2.5632809,-44.2142051
65085840,138,-2.5528685,-44.3292580
65031440,137,-2.5489731,-44.2842642
65085195,136,-2.5553926,-44.3299516
65073735,136,-2.5076645,-44.2387594
65025590,135,-2.5415132,-44.2918249
65076150,135,-2.5160080,-44.2984662
65025000,134,-2.5345450,-44.2898620
65058348,134,-2.5937479,-44.1952579
65075690,134,-2.5022276,-44.2836269
65058619,134,-2.6040154,-44.1991203
65058021,134,-2.6026240,-44.1887612
65057740,134,-2.5986504,-44.2357878
65060290,134,-2.5391099,-44.2829046
65045240,134,-2.5491942,-44.2422657
65075360,134,-2.4979924,-44.2907059
65081440,133,-2.5159246,-44.2478454
65046300,133,-2.5410406,-44.2511319
65067740,132,-2.4819246,-44.2203747
65036370,131,-2.5342287,-44.2679294
65043840,131,-2.5707240,-44.3010354
65075630,131,-2.4964228,-44.2914137
65058118,130,-2.5748083,-44.2060599
65067130,130,-2.4986195,-44.2207240
65030200,130,-2.5417281,-44.2821969
65074715,130,-2.5126799,-44.2665759
65042040,129,-2.5607553,-44.2727238
65054866,129,-2.5305160,-44.2134099
65068589,128,-2.4856844,-44.2184075
65081237,128,-2.5632547,-44.3152970
65025630,127,-2.5422876,-44.2938189
65091242,127,-2.6322513,-44.2851289
65081321,127,-2.5678070,-44.3121381
65050270,126,-2.5470563,-44.2201404
65040500,126,-2.5446761,-44.2602495
65025650,126,-2.5397167,-44.2910476
65065760,126,-2.5019892,-44.2228695
65074790,126,-2.5152243,-44.2675561
65066330,126,-2.5152696,-44.2183666
65058010,126,-2.5391099,-44.2829046
65062340,124,-2.5727302,-44.2177432
65071381,124,-2.4922712,-44.2850018
65085412,124,-5.5106519,-47.4585767
65040560,124,-2.5606464,-44.2638189
65074193,124,-2.5146418,-44.2678422
65082619,124,-2.5399904,-44.3327987
65080840,124,-2.5555964,-44.3138609
65045862,123,-2.5623641,-44.2404532
65058679,123,-2.5877103,-44.2068587
65076130,122,-2.5064064,-44.3025779
65031521,122,-2.5386899,-44.2820501
65050510,122,-2.5509398,-44.2182416
65057763,122,-2.5986764,-44.2195464
65025210,122,-2.5358558,-44.2880141
65057782,122,-2.6041328,-44.2284227
65054415,122,-2.5329659,-44.2051201
65042200,122,-2.5391099,-44.2829046
65081420,122,-2.5718852,-44.3142082
65075040,122,-2.5033399,-44.2948395
65044457,121,-2.5572511,-44.2704612
65071010,121,-2.5260655,-44.2417184
65067834,121,-2.4851700,-44.2149720
65058146,121,-2.5705037,-44.2043474
65064459,121,-2.5119820,-44.2229929
65058152,121,-2.5470167,-44.2166374
65036280,120,-2.5378435,-44.2706232
65086287,120,-2.5524566,-44.3283192
65067896,120,-2.4982436,-44.2161952
65071848,120,-2.5391099,-44.2829046
65063600,120,-2.5370423,-44.2303226
65056220,120,-2.5601334,-44.2220851
65035600,120,-2.5567459,-44.2475856
65081362,119,-2.5713431,-44.3079087
65090080,119,-2.5941192,-44.2482320
65058713,119,-2.5963389,-44.1941250
65090772,118,-2.5468056,-44.3324823
65092033,118,-2.6701947,-44.2837222
65053110,118,-2.5391099,-44.2829046
65055376,118,-2.5405734,-44.2084659
65063201,117,-2.5366536,-44.2298315
65025470,117,-2.5342097,-44.2933899
65085296,117,-2.5578493,-44.3323282
65036450,116,-2.5361924,-44.2713143
65058728,116,-2.5746980,-44.1922969
65059550,116,-2.5570237,-44.2365317
65060490,116,-2.5235518,-44.2459131
65026100,116,-2.5414550,-44.2981626
65082020,116,-2.5432821,-44.2979981
65057000,116,-2.5613367,-44.2284608
65040841,115,-2.5529716,-44.2480312
65095670,115,-2.6148680,-44.2602082
65058870,115,-2.5639450,-44.2043516
65080010,115,-2.5609224,-44.3038956
65020530,115,-2.5391099,-44.2829046
65057140,115,-2.5613160,-44.2300651
65058147,114,-2.5818845,-44.1999218
65081359,114,-2.5166563,-44.3057107
65050765,113,-2.5391099,-44.2829046
65065450,113,-2.4855772,-44.2359832
65086190,113,-2.5586369,-44.3368289
65085215,112,-2.5525966,-44.3283863
65055080,112,-2.5788735,-44.2431882
65055292,112,-2.5721021,-44.2177429
65035330,112,-2.5291694,-44.2796646
65058016,112,-2.5309002,-44.2348041
65060620,112,-2.5228145,-44.2421116
65086794,112,-16.8395019,-148.3716902
65055710,111,-2.5673615,-44.1673753
65067150,111,-2.4995010,-44.2282600
65040715,111,-2.5648167,-44.2639151
65085140,111,-2.5452959,-44.2243047
65082161,111,-2.5462021,-44.3107284
65044798,111,-2.5195331,-44.2041071
65043380,110,-2.5391099,-44.2829046
65065689,110,-2.5391099,-44.2829046
65054870,110,-2.5305160,-44.2134099
65061237,110,-2.5300413,-44.2578680
65080020,110,-2.5573554,-44.3035680
65058487,110,-2.6003189,-44.1859508
65061280,110,-2.5245898,-44.2486935
65035400,110,-2.5294326,-44.2860636
65040760,109,-2.5584996,-44.2794411
65020401,109,-2.5254610,-44.2902639
65071020,109,-2.5142289,-44.2518723
65081309,109,-2.5730825,-44.3071461
65092697,109,-2.6849910,-44.2982151
65057658,109,-2.5927897,-44.2199027
