ID_UNIDADE,CONSUMO,X,Y
77119,4380.0,-2.5305055,-44.2977345
1390090,289.0,-2.5082965,-44.226864500000005
44975092,247.0,-4.565677,-44.6268875
45640205,32.0,-2.5389174,-44.276157
11195083,0.0,-5.5300208999999985,-47.4827064
11195121,553.0,-5.5300208999999985,-47.4827064
42862916,341.0,-9.1124589,-45.9316922
34499535,1023.0,-2.5370016,-44.2156899
145874,1285.0,-2.493194,-44.2811259
45073661,3485.0,-2.493194,-44.2811259
2000139029,192.0,-4.454081299999999,-45.23494729999999
7874383,911.0,-4.8779268,-43.3743445
44604809,261.0,-6.5579812,-47.450171000000005
42493490,32.0,-5.1061135,-42.8295201
45628906,0.0,-5.5103472,-45.927813799999996
7718446,623.0,-5.585736,-44.379801
2000107497,173.0,-4.245677400000001,-44.782264
45354539,538.0,-2.5023169999999997,-44.237831
34105049,76.0,-2.5662884999999998,-44.2268801
1568914,308.0,-2.5333888,-44.2092401
4742397,4056.0,-4.3151443999999985,-46.4638967
78743,339.0,-2.5320663,-44.2999955
5990726,100.0,-4.5723405999999995,-45.129951399999996
42102334,2295.0,-4.5723405999999995,-45.129951399999996
6823025,425.0,-4.1283394,-44.130317
10108519,20696.36,-3.3622022000000005,-42.424295799999996
11383610,0.0,-5.476603,-47.4729537
10649188,2632.0,-7.520608999999999,-46.0656141
10699479,0.0,-7.520608999999999,-46.0656141
13658471,51.0,-5.507083799999998,-45.247021999999994
4616545,20200.72,-3.9654998999999997,-45.661791799999996
45252132,43.0,-2.2414468,-45.8529265
1066153,2491.0,-2.5040492000000003,-44.2686778
39208555,173.0,-2.5040492000000003,-44.2686778
40830332,799.0,-2.5040492000000003,-44.2686778
7599102,3040.0,-5.037999399999999,-44.4332109
32146163,100.0,-2.7013998,-44.827644899999996
13344302,14147.57,-4.5816818,-44.58982049999999
10855080,381.0,-8.553854600000001,-46.8583507
34667616,46535.0,-8.553854600000001,-46.8583507
34667560,7963.41,-8.553854600000001,-46.8583507
34660298,100505.79,-8.553854600000001,-46.8583507
41906715,3323.0,-8.553854600000001,-46.8583507
6309879,7144.99,-4.2328107,-44.78218160000001
6352642,6056.0,-4.2328107,-44.78218160000001
38104977,2009.0,-2.2337782,-45.300729100000005
6672426,490.0,-5.5286627,-47.4809247
32719872,66.0,-5.5286627,-47.4809247
4726588,829.0,-4.314385,-46.4627592
32544452,1188.0,-2.5205723,-44.261117999999996
10578108,11892.53,-7.5162643,-46.0572131
45177408,603.0,-7.5162643,-46.0572131
3540120,1529.0,-3.4591896,-44.8737581
1086669,5995.0,-2.4838628,-44.2504048
42176176,1038.0,-2.4838628,-44.2504048
12381468,30.0,-3.573803,-44.6810918
40111557,2983.0,-3.573803,-44.6810918
42167517,100.0,-3.573803,-44.6810918
5327253,1110.0,-2.932682,-44.2439401
