ID_UNIDADE,CONSUMO,X,Y
2000058588,233,-2.5097372,-44.2263191
35414657,5383,-5.5150193,-47.4710444
14317139,634,-5.523012899999999,-47.47234479999999
10199964,38271.23,-4.9522298,-47.49802570000001
2963019,6168,-2.5514745,-44.1646842
537659,7090,-2.5603041,-44.2785322
11198201,968,-5.532360199999999,-47.4844508
11314813,2585,-5.532360199999999,-47.4844508
1230042,3770,-2.5338281,-44.2611796
10721440,1901,-7.536393400000001,-46.04327869999999
1718665,6099.75,-2.5414844,-44.2187194
2435250,22607.04,-2.5414844,-44.2187194
33533942,100,-2.5414844,-44.2187194
33428804,1937,-2.5414844,-44.2187194
393169,448,-2.5364191,-44.2226632
6180140,30,-4.8736902,-44.88231769999999
13418586,30,-4.8736902,-44.88231769999999
42563927,30,-4.8736902,-44.88231769999999
42563765,30,-4.8736902,-44.88231769999999
1637410,2363,-2.5519019,-44.2110084
35315136,30,-2.5519019,-44.2110084
40954627,2305,-2.5519019,-44.2110084
2406977,10642.12,-2.6469393,-44.277713
2407124,333,-2.6469393,-44.277713
31586666,30,-2.6469393,-44.277713
38847040,4938,-2.6469393,-44.277713
38846868,83,-2.6469393,-44.277713
38846760,614,-2.6469393,-44.277713
38682520,0,-2.6469393,-44.277713
38846752,30,-2.6469393,-44.277713
38847171,50,-2.6469393,-44.277713
38682458,30,-2.6469393,-44.277713
38846850,111,-2.6469393,-44.277713
38846787,128,-2.6469393,-44.277713
38847252,241,-2.6469393,-44.277713
38682415,324,-2.6469393,-44.277713
38846914,100,-2.6469393,-44.277713
38846817,0,-2.6469393,-44.277713
38846990,78,-2.6469393,-44.277713
38847074,82,-2.6469393,-44.277713
38682377,242,-2.6469393,-44.277713
38682490,30,-2.6469393,-44.277713
38847031,235,-2.6469393,-44.277713
38847210,245,-2.6469393,-44.277713
38847104,0,-2.6469393,-44.277713
38846701,30,-2.6469393,-44.277713
38847147,0,-2.6469393,-44.277713
44715376,1742,-2.6469393,-44.277713
2000033900,30,-2.6469393,-44.277713
3689,100,-2.5079251,-44.3014715
1055100,6759,-2.5079251,-44.3014715
11262929,100,-5.523795,-47.4779561
9827617,1158,-2759,-42.8236208
36128844,30,-2759,-42.8236208
36128950,30,-2759,-42.8236208
36128887,30,-2759,-42.8236208
36128747,100,-2759,-42.8236208
36128780,30,-2759,-42.8236208
36128860,464,-2759,-42.8236208
36128925,30,-2759,-42.8236208
36128739,100,-2759,-42.8236208
36128810,254,-2759,-42.8236208
36128640,4252,-2759,-42.8236208
9560890,100,-3.7392077,-43.35422459999999
34126127,100,-3.7392077,-43.35422459999999
6287956,6799.08,-4.2412138,-44.779695
40993720,7670.68,-5.5109815,-47.4711819
5087791,920,-3.3941198,-44.3599357
39590557,30,-3.3941198,-44.3599357
12277504,165,-2.5367355,-44.2157305
36330902,100,-2.5400038,-44.288087
36331216,325,-2.5400038,-44.288087
42861960,3254,-2.5400038,-44.288087
226181,4703,-2.5328767,-44.2853164
6634788,138,-4.2871606,-45.2484962
33729391,8980.49,,
38478117,408542.4,,
39791188,162,,
40996532,3430.14,,
42120960,475,,
42475602,124,,
44140691,233,,
44991187,43281.41,,
1953141,331,-2.560944300000001,-44.238757
11193080,58015.39,-5.5132711,-47.4764044
31017408,823,-5.5303001,-47.4681625
7870949,91760.67,-4.8631345,-43.3665449
78506,2995,-2.5295925,-44.3011973
1779281,100,-2.5295925,-44.3011973
45684300,1445,-2.4895015,-44.2552166
1091522,100,-2.488248,-44.259151
6364314,310,-2.488248,-44.259151
41012510,4535.49,-2.488248,-44.259151
42805297,458,-2.488248,-44.259151
43080849,0,-2.488248,-44.259151
42805386,0,-2.488248,-44.259151
43850873,1456,-2.488248,-44.259151
2000079630,1821,-2.488248,-44.259151
2000077688,108,-2.488248,-44.259151
477,80867.16,-2.577658,-44.3673458
11811027,7803.79,-5.482194199999999,-47.4727523
11556825,634,-5.5401295,-47.4615449
900958,165,-2.4946891,-44.2302587
41672617,36,-2.5796061,-44.1846207
2000188317,30,-2.5796061,-44.1846207
11259723,510,-5.5257035,-47.4790116
1458060,519,-2.4866537,-44.2137094
1491326,0,-2.5192134,-44.2644645
11193820,2347,-5.522631899999999,-47.4730319
11376606,3259,-5.522631899999999,-47.4730319
1210785,5260,-2.494429,-44.23996899999999
39453908,1731,-6.561208499999999,-47.4486846
40097295,100,-2.5520719,-44.1738606
40096809,2203,-2.5520719,-44.1738606
40096841,4159,-2.5520719,-44.1738606
1186019,331,-2.4932132,-44.2814912
10578337,30393.28,-7.231446000000001,-45.976952
10611768,441,-7.231446000000001,-45.976952
10580145,744,-7.231446000000001,-45.976952
10580447,100,-7.231446000000001,-45.976952
10578345,9972.84,-7.231446000000001,-45.976952
10580110,13240,-7.231446000000001,-45.976952
10580137,702,-7.231446000000001,-45.976952
30092295,8127.14,-7.231446000000001,-45.976952
30844009,16441.17,-7.231446000000001,-45.976952
35924566,361.21,-7.231446000000001,-45.976952
44886723,46994.11,-7.231446000000001,-45.976952
12144016,671,-6.352009400000001,-47.3836351
12113200,3235,-6.352009400000001,-47.3836351
5918316,1007,-4.5693917,-44.6241905
1049534,573,-2.500464,-44.2860526
7202385,1139,-5.3019607,-44.4895083
4038142,0,-3.6650268,-45.3850008
35481850,939,-2.4822792,-44.7914069
1922955,1141,-2.5599265,-44.23217469999999
2503565,628,-2.5718941,-44.1903548
8687463,24376.55,,
33048416,169,-4.8637804,-43.36513480000001
7350511,45405.01,-5.4903737,-45.2476725
6555217,193,-4.0464102,-44.93629869999999
2000241655,750,-4.948608000000001,-47.5015969
10680646,1208,-7.335641400000001,-47.4607635
77941,1645,,
43599321,506,,
43599259,100,,
10251842,255,-4.9449575,-47.499638
1078860,801,-2.5394997,-44.1724159
31146569,30,-2.5394997,-44.1724159
5023475,243,-1.4560501,-45.7270317
5584027,78,-3.6317115,-44.5515699
5583942,30,-3.6317115,-44.5515699
5661200,30,-3.6317115,-44.5515699
5552877,637,-3.6317115,-44.5515699
5663881,3526,-3.6317115,-44.5515699
5666333,45,-3.6317115,-44.5515699
5661234,83,-3.6317115,-44.5515699
5583756,403,-3.6317115,-44.5515699
5665809,726,-3.6317115,-44.5515699
5663750,268,-3.6317115,-44.5515699
5552486,207,-3.6317115,-44.5515699
5666210,90,-3.6317115,-44.5515699
5665604,30,-3.6317115,-44.5515699
5660530,622,-3.6317115,-44.5515699
5663288,580,-3.6317115,-44.5515699
5666384,30,-3.6317115,-44.5515699
5662362,1087,-3.6317115,-44.5515699
5660629,837,-3.6317115,-44.5515699
